City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Fairbanks,US,2021-05-25 20:51:11,64.8378,-147.7164,67.96,35,20,9.22,few clouds
60,Batemans Bay,AU,2021-05-25 20:55:40,-35.7167,150.1833,61.92,66,1,6.49,clear sky
61,Port Alfred,ZA,2021-05-25 20:55:40,-33.5906,26.891,63.82,92,82,12.01,broken clouds
62,Vanimo,PG,2021-05-25 20:55:40,-2.6741,141.3028,77.34,90,96,3.4,light rain
63,Provideniya,RU,2021-05-25 20:53:17,64.3833,-173.3,46.51,57,0,20.13,clear sky
64,Kruisfontein,ZA,2021-05-25 20:55:22,-34.0033,24.7314,60.89,91,78,8.55,broken clouds
65,Fuzhou,CN,2021-05-25 20:55:41,26.0614,119.3061,69.69,95,97,1.03,overcast clouds
66,Norman Wells,CA,2021-05-25 20:55:41,65.282,-126.8329,59.04,21,20,10.36,few clouds
67,Uvalde,US,2021-05-25 20:55:41,29.3669,-99.767,89.19,66,40,13.42,scattered clouds
68,San Cristobal,VE,2021-05-25 20:55:31,7.7669,-72.225,73.58,99,100,4.81,overcast clouds
69,East London,ZA,2021-05-25 20:55:42,-33.0153,27.9116,66.81,81,90,14.56,overcast clouds
70,Alofi,NU,2021-05-25 20:55:42,-19.0595,-169.9187,80.49,89,75,9.22,light rain
71,Salamiyah,SY,2021-05-25 20:55:43,35.0113,37.0532,69.78,46,0,7.63,clear sky
72,Udachnyy,RU,2021-05-25 20:54:13,66.4167,112.4,43.27,83,98,8.63,overcast clouds
73,Lewistown,US,2021-05-25 20:55:43,40.5992,-77.5714,79.45,1,90,5.75,overcast clouds
74,Lompoc,US,2021-05-25 20:54:42,34.6391,-120.4579,86.13,67,1,16.11,clear sky
75,Ahipara,NZ,2021-05-25 20:55:43,-35.1667,173.1667,55.11,75,24,9.51,few clouds
76,Westport,US,2021-05-25 20:55:44,41.1415,-73.3579,80.02,57,66,1.01,broken clouds
77,Te Anau,NZ,2021-05-25 20:53:00,-45.4167,167.7167,36.05,77,85,1.19,overcast clouds
78,Ponta Do Sol,PT,2021-05-25 20:55:44,32.6667,-17.1,65.12,56,69,8.75,broken clouds
79,Naze,JP,2021-05-25 20:55:45,28.3667,129.4833,69.94,64,100,1.86,overcast clouds
80,Touros,BR,2021-05-25 20:55:45,-5.1989,-35.4608,81.5,76,98,12.88,overcast clouds
81,Nueve De Julio,AR,2021-05-25 20:55:45,-35.4444,-60.8831,55.71,62,4,4.34,clear sky
82,Georgetown,MY,2021-05-25 20:55:46,5.4112,100.3354,82.89,83,20,3.0,few clouds
83,Vila Franca Do Campo,PT,2021-05-25 20:53:54,37.7167,-25.4333,66.61,80,100,9.8,overcast clouds
84,Margate,GB,2021-05-25 20:55:46,51.3813,1.3862,52.7,72,54,4.0,broken clouds
85,Chokurdakh,RU,2021-05-25 20:53:13,70.6333,147.9167,34.32,78,40,7.83,scattered clouds
86,Souillac,MU,2021-05-25 20:53:56,-20.5167,57.5167,75.58,83,75,8.32,broken clouds
87,Kungurtug,RU,2021-05-25 20:55:47,50.5994,97.5228,42.4,90,100,3.65,light rain
88,Saint-Augustin,CA,2021-05-25 20:55:47,51.226,-58.6502,58.55,56,100,18.9,overcast clouds
89,Caravelas,BR,2021-05-25 20:55:47,-17.7125,-39.2481,75.09,87,44,7.72,scattered clouds
90,Ribeira Grande,PT,2021-05-25 20:53:23,38.5167,-28.7,64.8,94,75,14.97,broken clouds
91,Bethel,US,2021-05-25 20:53:55,41.3712,-73.414,80.29,59,71,1.01,broken clouds
92,Faanui,PF,2021-05-25 20:55:49,-16.4833,-151.75,80.96,71,99,10.47,overcast clouds
93,Ostrovnoy,RU,2021-05-25 20:55:51,68.0531,39.5131,34.02,79,9,6.08,clear sky
94,Punta Arenas,CL,2021-05-25 20:52:16,-53.15,-70.9167,37.51,75,20,15.37,few clouds
95,Martinho Campos,BR,2021-05-25 20:55:51,-19.3317,-45.2369,73.53,42,89,4.14,overcast clouds
96,Chisec,GT,2021-05-25 20:55:51,15.8167,-90.2833,91.63,69,64,5.17,broken clouds
97,Nurota,UZ,2021-05-25 20:55:52,40.5614,65.6886,75.29,25,95,6.8,overcast clouds
98,Hailey,US,2021-05-25 20:55:52,43.5196,-114.3153,55.9,68,87,11.99,overcast clouds
99,Lyuban,BY,2021-05-25 20:55:52,52.7985,28.0048,57.85,89,100,12.06,overcast clouds
100,Narsaq,GL,2021-05-25 20:53:20,60.9167,-46.05,37.49,63,64,3.71,broken clouds
101,Florianopolis,BR,2021-05-25 20:52:43,-27.6146,-48.5012,63.63,61,0,5.75,clear sky
102,Ikom,NG,2021-05-25 20:55:53,5.9667,8.7063,76.73,92,100,2.44,overcast clouds
