City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
294,Balabac,PH,80.89,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
297,Manta,EC,83.98,scattered clouds,-0.95,-80.7333,Balandra Hotel
299,Miraflores,MX,76.87,light rain,19.2167,-98.8083,Hotel Mansión
306,Parambu,BR,76.46,few clouds,-6.2111,-40.6944,Hotel pousada santo onofre
308,San Nicolas,PH,80.74,scattered clouds,18.1725,120.5953,NORTHVIEW Hotel
313,Palmer,US,80.62,broken clouds,42.1584,-72.3287,Wedgewood Motel
319,Tagusao,PH,80.02,broken clouds,9.1924,117.8141,Toledo
320,Benjamin Constant,BR,82.53,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
321,Pathein,MM,77.11,heavy intensity rain,16.7833,94.7333,New Pammawaddy Hotel
324,Kirakira,SB,78.44,broken clouds,-10.4544,161.9205,SanBiz Lodge
325,Epe,NG,79.74,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
326,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
328,Banjar,ID,80.46,scattered clouds,-8.19,114.9675,The Hamsa Resort
330,Tual,ID,82.26,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
331,Lethem,GY,80.87,overcast clouds,3.3803,-59.7968,Savannah Inn
334,Axim,GH,80.53,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
344,Hirara,JP,81.52,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
353,Pacific Grove,US,82.62,scattered clouds,36.6177,-121.9166,Lovers Point Inn
359,Kavaratti,IN,83.3,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
360,Ugoofaaru,MV,82.76,overcast clouds,5.6667,73.0,Ungoofaaru Inn
366,Belmonte,BR,79.3,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
367,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
370,Banda Aceh,ID,80.49,overcast clouds,5.5577,95.3222,Sulthan Hotel International
376,Bandarbeyla,SO,79.09,clear sky,9.4942,50.8122,JABIR HOTEL
385,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
386,Yilan,TW,79.83,few clouds,24.756999999999998,121.75299999999999,Dar Chen Hotel
390,Mohanur,IN,81.7,overcast clouds,11.0833,78.1667,Deepak Lodge
400,Mayo,US,82.81,broken clouds,38.8876,-76.5119,Resorts Resource Group International
403,Benguela,AO,76.05,clear sky,-12.5763,13.4055,Hotel Praia Morena
421,Virginia Beach,US,82.02,broken clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
433,Manado,ID,75.97,few clouds,1.4869999999999999,124.8455,Aryaduta Hotel
440,Seydi,TM,83.53,clear sky,39.4816,62.9137,Seydi oteli
441,San Policarpo,PH,81.12,overcast clouds,12.1791,125.5072,JM Lodge
442,Gizo,SB,81.39,moderate rain,-8.103,156.8419,Imagination Island
446,Handia,IN,84.69,broken clouds,25.3833,82.1833,Jama Masjid Damgarah
447,Jacareacanga,BR,83.34,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
455,Zhanaozen,KZ,75.85,scattered clouds,43.3,52.8,K.korabay 28A
461,Akyab,MM,80.22,overcast clouds,20.15,92.9,Hotel Memory
466,Gerash,IR,84.34,clear sky,27.6652,54.1371,Sa'adat House
468,Daru,PG,77.02,scattered clouds,-9.0763,143.2092,Daru Lodge
469,Vilhena,BR,82.62,scattered clouds,-12.7406,-60.1458,Hotel Mirage
472,Charagua,BO,76.57,few clouds,-19.8,-63.2167,Residencial Luismar
477,Soyo,AO,79.11,scattered clouds,-6.1349,12.3689,Hotel Mpampa
478,Parasia,IN,80.28,overcast clouds,22.2,78.7667,Hotel Navrang
479,Mitsamiouli,KM,77.94,scattered clouds,-11.3847,43.2844,Foyer ADM
489,Conceicao Do Araguaia,BR,80.28,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
493,Bubaque,GW,80.11,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
494,Ternate,ID,81.45,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
498,Iralaya,HN,84.29,overcast clouds,15.0,-83.2333,Iglesia morava renovada
500,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
501,Corinto,GR,80.64,clear sky,37.9407,22.9573,Ephira Hotel
513,Kahului,US,83.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
515,Asyut,EG,80.78,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
519,Vallenar,CL,79.59,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
521,Tutoia,BR,79.03,scattered clouds,-2.7619,-42.2744,Pousada Guará's
523,San Francisco,US,82.78,clear sky,37.7749,-122.4194,The Clift Royal Sonesta Hotel
526,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
531,Xucheng,CN,79.5,scattered clouds,20.35,110.1288,Haixing Hotel
536,Wilmington,US,84.0,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
537,Warri,NG,77.16,broken clouds,5.5167,5.75,BON Hotel Delta
539,Gigmoto,PH,79.36,broken clouds,13.7796,124.39,Cj's Travellers Inn
546,Domoni,KM,76.05,broken clouds,-12.2569,44.5319,Al Djadid
554,Glens Falls,US,81.93,overcast clouds,43.3095,-73.64399999999999,Super 8 by Wyndham Queensbury Glens Falls/Lake George Area
555,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
557,High Rock,BS,82.42,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
558,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
562,Fare,PF,80.91,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
563,Dzaoudzi,YT,75.09,broken clouds,-12.7887,45.2699,Le Rocher
566,Finschhafen,PG,79.41,overcast clouds,-6.6024,147.8681,Cossam Guest House
574,Pundaguitan,PH,80.85,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
577,Takoradi,GH,80.56,overcast clouds,4.8845,-1.7554,Raybow International Hotel
578,Conakry,GN,82.47,light rain,9.538,-13.6773,Riviera Royal Hotel
583,Ikirun,NG,81.88,light rain,7.9167,4.6667,Turode Hotel
585,Najran,SA,81.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
589,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
590,Puerto Carreno,CO,80.94,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
602,Natal,BR,82.62,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
603,Luanda,AO,78.8,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
604,Watertown,US,83.57,scattered clouds,42.3709,-71.1828,Sonesta International Hotels Corporation
606,Kerema,PG,76.75,overcast clouds,-7.9631,145.7785,Frena Lodge
612,Samarai,PG,78.78,overcast clouds,-10.6167,150.6667,Nuli Sapi
616,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
617,Boueni,YT,75.18,few clouds,-12.9025,45.0761,The feet in water
621,Grand-Santi,GF,77.52,light rain,4.25,-54.3833,Hotel La Villa Couacou
622,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
628,Do Gonbadan,IR,80.69,clear sky,30.3586,50.7981,شبکه بهداشت و درمان گچساران
632,Broome,US,80.65,overcast clouds,42.2506,-75.833,Chenango Valley State Park
633,Breves,BR,82.65,broken clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
634,Biak,ID,76.39,broken clouds,-0.9131,122.8766,Penginapan Kim
